Prod_name,Prod_price,Prod_link,Prod_rate,Prod_review
Medium 30 L Laptop Backpack Backpack For College School...,399,https://www.flipkart.com/wrogn-backpack-college-school-travel-office-men-women-30-l/p/itma81aac4dc480d?pid=BKPGZNTWVV8NU8TP&lid=LSTBKPGZNTWVV8NU8TPXZOIN9&marketplace=FLIPKART&q=bags&store=reh%2F4d7&srno=s_1_11&otracker=search&otracker1=search&fm=organic&iid=en_SgyDTHwpAdSqcltSp1vZRf612AM1OEfFOcNdmgCPdRaZE3JMBEJeDYI47YkiwpuoxprPhS7RMKa_jW6Q07CJBQ%3D%3D&ppt=hp&ppn=homepage&ssid=ncuw9ar4xc0000001690536062170&qH=404e218d27fee49e,3.9,1108
Medium 25 L Backpack SMALL 25 L DAYPACK BAGPACK FOR DAI...,341,https://www.flipkart.com/plexy-small-25-l-daypack-bagpack-daily-routine-backpack/p/itm27ecdf03cb143?pid=BKPGHSBZCR3Z5GZ9&lid=LSTBKPGHSBZCR3Z5GZ9QXVFQP&marketplace=FLIPKART&q=bags&store=reh%2F4d7&srno=s_1_12&otracker=search&otracker1=search&fm=organic&iid=en_SgyDTHwpAdSqcltSp1vZRf612AM1OEfFOcNdmgCPdRa3_tgeeO0G4dGPd0Pr-a61s8TXzqMYU91mMqxJZfknLA%3D%3D&ppt=hp&ppn=homepage&ssid=ncuw9ar4xc0000001690536062170&qH=404e218d27fee49e,3.6,140
Large 94 L Laptop Backpack Black E commerce,1599,https://www.flipkart.com/ssbc-black-e-commerce-94-l-backpack/p/itm1ec4bc1b573db?pid=BKPGMGYXXWHZTHHB&lid=LSTBKPGMGYXXWHZTHHB8JJWWR&marketplace=FLIPKART&q=bags&store=reh%2F4d7&srno=s_1_13&otracker=search&otracker1=search&fm=organic&iid=fa00b72b-e2ad-4cd5-81d6-07c32294e6c8.BKPGMGYXXWHZTHHB.SEARCH&ppt=hp&ppn=homepage&ssid=ncuw9ar4xc0000001690536062170&qH=404e218d27fee49e,0,0
Medium 25 L Backpack BOMBER ECO STATEMENT 2C,543,https://www.flipkart.com/gear-bomber-eco-statement-2c-25-l-backpack/p/itmaf50c79d3601b?pid=BKPFVDFYCFAN6T8F&lid=LSTBKPFVDFYCFAN6T8FGF7GXK&marketplace=FLIPKART&q=bags&store=reh%2F4d7&srno=s_1_14&otracker=search&otracker1=search&fm=organic&iid=fa00b72b-e2ad-4cd5-81d6-07c32294e6c8.BKPFVDFYCFAN6T8F.SEARCH&ppt=hp&ppn=homepage&ssid=ncuw9ar4xc0000001690536062170&qH=404e218d27fee49e,4.2,99
Large 35 L Backpack Comet 4,778,https://www.flipkart.com/lunar-comet-4-35-l-backpack/p/itmb6d972dc4f0f5?pid=BKPFJXZ2QKDGFZYC&lid=LSTBKPFJXZ2QKDGFZYCH9JIQF&marketplace=FLIPKART&q=bags&store=reh%2F4d7&srno=s_1_15&otracker=search&otracker1=search&fm=organic&iid=fa00b72b-e2ad-4cd5-81d6-07c32294e6c8.BKPFJXZ2QKDGFZYC.SEARCH&ppt=hp&ppn=homepage&ssid=ncuw9ar4xc0000001690536062170&qH=404e218d27fee49e,0,0
Medium 29 L Backpack SCHOOL 04 BACKPACK,719,https://www.flipkart.com/gear-school-04-backpack-29-l/p/itm5cf0dcf84e39d?pid=BKPFVHFW4SNQCZFT&lid=LSTBKPFVHFW4SNQCZFTFRUAPQ&marketplace=FLIPKART&q=bags&store=reh%2F4d7&srno=s_1_16&otracker=search&otracker1=search&fm=organic&iid=fa00b72b-e2ad-4cd5-81d6-07c32294e6c8.BKPFVHFW4SNQCZFT.SEARCH&ppt=hp&ppn=homepage&ssid=ncuw9ar4xc0000001690536062170&qH=404e218d27fee49e,4.8,0
Small 10 L Backpack RAGER 10L DAYPACK BLACK,350,https://www.flipkart.com/skybags-rager-10l-daypack-black-10-l-backpack/p/itm91193623447cf?pid=BKPGDSSP4EPMFZRW&lid=LSTBKPGDSSP4EPMFZRWGICYTT&marketplace=FLIPKART&q=bags&store=reh%2F4d7&srno=s_1_18&otracker=search&otracker1=search&fm=organic&iid=en_SgyDTHwpAdSqcltSp1vZRf612AM1OEfFOcNdmgCPdRbA3zF2hIaebh0IyCakQqr8WUNE_AI7B81Wo3WZ68-S-A%3D%3D&ppt=hp&ppn=homepage&ssid=ncuw9ar4xc0000001690536062170&qH=404e218d27fee49e,4,39
Medium 22 L Backpack VOXEL 22L BACKPACK GREEN,589,https://www.flipkart.com/skybags-voxel-22l-backpack-green-22-l/p/itm5c6c8864d75a2?pid=BKPGENMWVKGV4YHC&lid=LSTBKPGENMWVKGV4YHCWBTGPQ&marketplace=FLIPKART&q=bags&store=reh%2F4d7&srno=s_1_19&otracker=search&otracker1=search&fm=organic&iid=fa00b72b-e2ad-4cd5-81d6-07c32294e6c8.BKPGENMWVKGV4YHC.SEARCH&ppt=hp&ppn=homepage&ssid=ncuw9ar4xc0000001690536062170&qH=404e218d27fee49e,4.2,96
Medium 30 L Backpack DISNEY MICKEY SCHOOL BACKPACK 01 B...,869,https://www.flipkart.com/skybags-disney-mickey-school-backpack-01-black-30-l/p/itm846a00d5e402b?pid=BKPGPQYDZYHF7DEQ&lid=LSTBKPGPQYDZYHF7DEQAFII83&marketplace=FLIPKART&q=bags&store=reh%2F4d7&srno=s_1_20&otracker=search&otracker1=search&fm=organic&iid=fa00b72b-e2ad-4cd5-81d6-07c32294e6c8.BKPGPQYDZYHF7DEQ.SEARCH&ppt=hp&ppn=homepage&ssid=ncuw9ar4xc0000001690536062170&qH=404e218d27fee49e,4,1
Small 20 L Backpack SMALL 20 L DAYPACK BAGPACK FOR DAIL...,1009,https://www.flipkart.com/plexy-small-20-l-daypack-bagpack-daily-purpose-backpack/p/itm2d9dfb8538b25?pid=BKPGHSBXHUD8QMSG&lid=LSTBKPGHSBXHUD8QMSGVGSL1E&marketplace=FLIPKART&q=bags&store=reh%2F4d7&srno=s_1_21&otracker=search&otracker1=search&fm=organic&iid=en_SgyDTHwpAdSqcltSp1vZRf612AM1OEfFOcNdmgCPdRZuW-3ICqKH-bqnD0lgAaRzlLxSfhxwUDZnkSiWW19wvg%3D%3D&ppt=hp&ppn=homepage&ssid=ncuw9ar4xc0000001690536062170&qH=404e218d27fee49e,3.9,173
